1|earth|Creation globe
2|tree|Eden's tree
3|altar|Abel's offering
4|footsteps|Enoch's path
5|ark|Noah's ark
6|rainbow|Covenant rainbow
7|tower|Babel's tower
8|tent|Abraham's tent
9|stars|Stars of promise
10|ram|The mountain ram
11|fire|Sodom's warning
12|jar|Rebekah's water jar
13|bowl|The lentil bowl
14|ladder|Jacob's ladder
15|moon|Night at the Jabbok
16|coat|Joseph's colorful coat
17|grain|Egypt's seven ears
18|sack|The brothers' grain sack
19|basket|Moses' river basket
20|frog|The Egyptian frog
21|lamb|Passover lamb
22|sea|The parted sea
23|bread|Manna in the wilderness
24|tablets|Sinai's stone tablets
25|calf|The golden calf
26|shield|Shield of the law
27|sanctuary|Wilderness sanctuary
28|censer|The priestly censer
29|scroll|The covenant scroll
30|trumpet|The camp's silver trumpet
31|grapes|Grapes of Canaan
32|staff|Aaron's budding rod
33|sandals|Wilderness sandals
34|rock|Water from the rock
35|snake|The bronze serpent
36|gate|Bashan's city gate
37|donkey|Balaam's donkey
38|river|The Jordan crossing-place
39|tablets|The law remembered
40|mountain|The summit of Nebo
41|stones|Jordan's memorial stones
42|trumpet|Jericho's ram's horn
43|mountains|Ebal and Gerizim
44|loaf|The Gibeonites' bread
45|map|The promised inheritance
46|stone|Joshua's witness stone
47|wheat|The gleaner's sheaf
48|torch|Gideon's torch
49|pillars|Samson's pillars
50|lamp|Samuel's sanctuary lamp
51|chest|The ark of the covenant
52|crown|Israel's first crown
53|sword|Jonathan's sword
54|robe|The torn royal robe
55|horn|David's anointing horn
56|sling|David's sling
57|cave|The fugitive's cave
58|flask|Saul's water flask
59|shield|The fallen king's shield
60|sack|The recovered provisions
61|throne|David's throne
62|harp|The psalmist's harp
63|heart|A contrite heart
64|tree|The oak of Absalom
65|cedar|Timber for the temple
66|scroll|Israel's family record
67|vine|The Lord's vineyard
68|scale|Solomon's wisdom scales
69|temple|The dedicated temple
70|coins|Treasures of prosperity
71|book|The book of Ecclesiastes
72|robe|The divided cloak
73|altar|Jeroboam's altar
74|pillar|The abandoned altar-stone
75|raven|Elijah's raven
76|jar|The widow's oil jar
77|fire|Fire on Carmel
78|cloud|The rain-cloud promise
79|cave|The cave at Horeb
80|staff|Elijah's prophet staff
81|harp|Jehoshaphat's song
82|vine|Naboth's vineyard
83|plough|Elisha's plough
84|salt|The bowl of healing salt
85|oil|The overflowing oil
86|river|Naaman's healing river
87|axe|The floating axe head
88|fish|Jonah's great fish
89|chain|The exile's chain
90|coal|Isaiah's altar coal
91|eagle|Wings of renewal
92|sundial|Ahaz's sundial
93|door|The reopened temple door
94|sun|Hezekiah's returning shadow
95|shield|Jerusalem's deliverance
96|banner|A banner for the nations
97|crown|The humbled crown
98|scroll|The rediscovered law
99|branch|Jeremiah's almond branch
100|scroll|Jeremiah's warning scroll
101|yoke|Jeremiah's wooden yoke
102|harp|The exile's silent harp
103|deed|The field's sealed deed
104|bowl|Daniel's simple table
105|statue|The dream's great statue
106|furnace|The fiery furnace
107|stump|The king's humbled tree
108|writing|Writing on the wall
109|lion|Daniel's lion
110|trumpet|The exiles' homecoming horn
111|hammer|The temple builder's hammer
112|robe|Joshua's clean robe
113|menorah|The golden lampstand
114|scepter|Esther's golden scepter
115|quill|Ezra's scribe pen
116|scroll|The renewed covenant
117|cup|The cupbearer's cup
118|trowel|Nehemiah's building trowel
119|coins|The returned silver
120|gate|The guarded wall gate
121|book|The opened law book
122|door|The Sabbath gates
123|star|The promised Deliverer's star
124|vine|The restored vineyard
125|lily|The desert blossom
126|river|The life-giving river
127|lamp|Light among us
128|hourglass|The fullness of time
129|manger|Bethlehem's manger
130|dove|The temple offering
131|gifts|The travelers' gifts
132|carpenter|The carpenter's tools
133|reed|The wilderness reed
134|dove|The baptism dove
135|stones|Stones in the wilderness
136|lamb|The Lamb proclaimed
137|waterpots|Cana's water pots
138|whip|The temple cord
139|lamp|Nicodemus' night lamp
140|river|John's baptism waters
141|well|The Samaritan well
142|house|The nobleman's home
143|pool|Bethesda's pool
144|chain|John's prison chain
145|boat|The Galilean fishing boat
146|scroll|Nazareth's Scripture scroll
147|net|The disciples' fishing net
148|house|Capernaum's doorway
149|mat|The carried sleeping mat
150|coins|Matthew's tax coins
151|wheat|The Sabbath grain
152|stars|The twelve chosen lights
153|mountain|The sermon mountain
154|helmet|The centurion's helmet
155|house|The welcoming household
